column_en,column_ko,code,details,remarks
road_rank,도로의 등급,101,고속국도,
road_rank,도로의 등급,102,도시고속국도,
road_rank,도로의 등급,103,일반국도,
road_rank,도로의 등급,104,특별광역시도,
road_rank,도로의 등급,105,국가지원지방도,
road_rank,도로의 등급,106,지방도,
road_rank,도로의 등급,107,시군도,
road_rank,도로의 등급,108,고속도로 연결램프,
timeslot,측정에 대한 시간적 범위 (시간대),1,1-2시 ,
timeslot,측정에 대한 시간적 범위 (시간대),2,2-3시,
timeslot,측정에 대한 시간적 범위 (시간대),3,3-4시,
timeslot,측정에 대한 시간적 범위 (시간대),4,4-5시,
timeslot,측정에 대한 시간적 범위 (시간대),5,5-6시,
timeslot,측정에 대한 시간적 범위 (시간대),6,6-7시,
timeslot,측정에 대한 시간적 범위 (시간대),7,7-8시,
timeslot,측정에 대한 시간적 범위 (시간대),8,8-9시,
timeslot,측정에 대한 시간적 범위 (시간대),9,9-10시,
timeslot,측정에 대한 시간적 범위 (시간대),10,10-11시,
timeslot,측정에 대한 시간적 범위 (시간대),11,11-12시,
timeslot,측정에 대한 시간적 범위 (시간대),12,12-13시,
timeslot,측정에 대한 시간적 범위 (시간대),13,13-14시,
timeslot,측정에 대한 시간적 범위 (시간대),14,14-15시,
timeslot,측정에 대한 시간적 범위 (시간대),15,15-16시,
timeslot,측정에 대한 시간적 범위 (시간대),16,16-17시,
timeslot,측정에 대한 시간적 범위 (시간대),17,17-18시,
timeslot,측정에 대한 시간적 범위 (시간대),18,18-19시,
timeslot,측정에 대한 시간적 범위 (시간대),19,19-20시,
timeslot,측정에 대한 시간적 범위 (시간대),20,20-21시,
timeslot,측정에 대한 시간적 범위 (시간대),21,21-22시,
timeslot,측정에 대한 시간적 범위 (시간대),22,22-23시,
timeslot,측정에 대한 시간적 범위 (시간대),23,23-24시,
timeslot,측정에 대한 시간적 범위 (시간대),0,24-1시,
pavement,포장유무,0,미조사,
pavement,포장유무,1,포장,
pavement,포장유무,2,포장안됨,
road_type,도로형태,0,일반도로,
road_type,도로형태,1,고가차도,
road_type,도로형태,2,지하차도,
road_type,도로형태,3,교량,
road_type,도로형태,4,터널,
road_type,도로형태,5,요금징수시설,
oneway,일방통행,0,규제없음(양방통행),
oneway,일방통행,1,일방통행,
oneway,일방통행,5.5,분석맵 네트워크,
oneway,일방통행,6,지표가 생성되어야 하는 구간,
oneway,일방통행,6.5,지표가 생성되지 않아도 되는 구간,(예: 단지내 도로 / 도로의 진출입로 / 산길 / 소도로 등)
link_type,링크종별,1,본선 분리,
link_type,링크종별,2,연결로(JC),
link_type,링크종별,4,교차로 통로,
link_type,링크종별,8,연결로(IC),
link_type,링크종별,16,SA 레이어,
link_type,링크종별,32,복합교차로,
link_type,링크종별,64,로타리내링크,
link_type,링크종별,128,회전교차로,
link_type,링크종별,512,P-turn,
link_type,링크종별,513,P-turn/본선분리,
link_type,링크종별,516,P-turn/교차로통로,
link_type,링크종별,544,"Pturn, 복합교차점내링크",
link_type,링크종별,1024,U-turn,
link_type,링크종별,2048,진출입로,
link_type,링크종별,2049,진출입로/본선분리,
link_type,링크종별,2052,진출입로/교차로통로,
link_type,링크종별,2056,진출입로/연결로IC,
link_type,링크종별,2080,진출입로/복합교차점내링크,
link_type,링크종별,2112,진출입로/로터리내링크,
link_type,링크종별,32768,비분리,
link_type,링크종별,32772,비분리/교차로통로,링크의 종류가 중복되는 경우 코드값 합하여 구분함
link_type,링크종별,33280,비분리/P-turn,링크의 종류가 중복되는 경우 코드값 합하여 구분함
link_type,링크종별,34816,비분리/진출입로,링크의 종류가 중복되는 경우 코드값 합하여 구분함 
link_type,링크종별,36864,비분리/단지내 도로,링크의 종류가 중복되는 경우 코드값 합하여 구분함
link_type,링크종별,49152,자동차경주로,
rc_hist,이력관리 코드(변경한 도로변경 이력정보),100,신설,
rc_hist,이력관리 코드(변경한 도로변경 이력정보),200,확포장,
rc_hist,이력관리 코드(변경한 도로변경 이력정보),300,선형변경,
rc_hist,이력관리 코드(변경한 도로변경 이력정보),410,링크추가,
rc_hist,이력관리 코드(변경한 도로변경 이력정보),420,링크변경,
rc_hist,이력관리 코드(변경한 도로변경 이력정보),500,더미노드생성,
rc_hist,이력관리 코드(변경한 도로변경 이력정보),910,이력으로 인한 링크추가,
rc_hist,이력관리 코드(변경한 도로변경 이력정보),920,이력으로 인한 링크변경,
